generating_institute     gfz-potsdam
     generating_date     2017/04/04
        product_type     gravity_field
                body     earth
           modelname     eigen-6c4
     max_used_degree          2190
         tide_system     tide_free
          functional     gravity_anomaly
    zero_degree_term     included
                unit     mgal
          refsysname     WGS84
            gmrefpot      3.98600441800E+14 m**3/s**2
        radiusrefpot     6378137.000 m
          flatrefpot      3.352810664747480E-03   (1/298.25722356300)
         omegarefpot      7.29211500000E-05 1/s
    normal_potential      6.263685171456948E+07 m**2/s**2
       long_lat_unit     degree
      latlimit_north       0.0000000000000    
      latlimit_south      -15.000000000000    
      longlimit_west       310.00000000000    
      longlimit_east       320.00000000000    
            gridstep       1.0000000000000    
  latitude_parallels            16
 longitude_parallels            11
number_of_gridpoints           176
            gapvalue            999.0000
       weighted_mean     -1.3322483E+01 mgal
            maxvalue      7.1444573E+01 mgal
            minvalue     -6.3119477E+01 mgal
         signal_wrms      2.4531519E+01 mgal
         grid_format     long_lat_height_value
 
          longitude    latitude  h_over_geoid  gravity_anomaly
            [deg.]      [deg.]     [meter]         [mgal]
end_of_head ======================================================
           312.0000    -10.0000     318.00       -3.360689093235
           313.0000    -10.0000     280.00      -26.158160307688
           314.0000    -10.0000     521.00       -8.635437961146
           315.0000    -10.0000     430.00        8.819317208797
           316.0000    -10.0000     389.00       19.194288575797
           317.0000    -10.0000     421.00      -37.406919685168
           318.0000    -10.0000     621.00      -12.157506411192
           319.0000    -10.0000     754.00       15.923309140398
           320.0000    -10.0000     461.00       -1.486682879381
           310.0000    -11.0000     184.00      -47.013755873593
           311.0000    -11.0000     277.00      -22.095688394685
           312.0000    -11.0000     306.00       -0.352523275815
           313.0000    -11.0000     465.00      -12.947774240502
           314.0000    -11.0000     678.00       17.311584722535
           315.0000    -11.0000     532.00      -31.001850451418
           316.0000    -11.0000     698.00      -23.635127316091
           317.0000    -11.0000     403.00      -36.517088570065
           318.0000    -11.0000     551.00      -42.391147416154
           319.0000    -11.0000     586.00       -7.955691977024
           320.0000    -11.0000     350.00       -6.019361548582
           310.0000    -12.0000     197.00      -47.890294322528
           311.0000    -12.0000     264.00       12.837220705109
           312.0000    -12.0000     386.00       -2.334967079776
           313.0000    -12.0000     375.00      -54.463416393880
           314.0000    -12.0000     807.00       -7.758637941357
           315.0000    -12.0000     457.00      -15.545923210603
           316.0000    -12.0000     716.00      -21.837467263630
           317.0000    -12.0000     445.00      -24.279769851709
           318.0000    -12.0000     833.00       -6.822699788955
           319.0000    -12.0000     640.00       -3.828555312779
           320.0000    -12.0000     307.00       -5.183241039219
           310.0000    -13.0000     270.00      -27.000847130942
           311.0000    -13.0000     409.00       17.606493546651
           312.0000    -13.0000     743.00        7.878408476536
           313.0000    -13.0000     584.00      -47.244354324860
           314.0000    -13.0000     841.00       12.420509204603
           315.0000    -13.0000     752.00       17.734134537761
           316.0000    -13.0000     522.00      -15.306565829398
           317.0000    -13.0000     883.00      -33.952210593391
           318.0000    -13.0000    1263.00       50.899182885900
           319.0000    -13.0000     604.00      -18.190853205624
           320.0000    -13.0000     538.00       15.932205867131
           310.0000    -14.0000     297.00        8.201276074082
           311.0000    -14.0000     534.00       15.220923612169
           312.0000    -14.0000     504.00      -47.816505491483
           313.0000    -14.0000     470.00      -52.654816121844
           314.0000    -14.0000     931.00       13.906072221381
           315.0000    -14.0000     677.00        2.958833115585
           316.0000    -14.0000     472.00      -10.847008604919
           317.0000    -14.0000     493.00       -9.347138839111
           318.0000    -14.0000     509.00      -63.119476665996
           319.0000    -14.0000     279.00      -40.344347464405
           320.0000    -14.0000     690.00        8.588465245474
           310.0000    -15.0000     561.00        1.896190348027
           311.0000    -15.0000    1079.00       16.001998159609
           312.0000    -15.0000     894.00      -35.771849830724
           313.0000    -15.0000     524.00      -43.985599780427
           314.0000    -15.0000     846.00       -3.185663745420
           315.0000    -15.0000     737.00        7.555383823998
           316.0000    -15.0000     447.00      -17.787299840677
           317.0000    -15.0000     898.00       17.898084000301
           318.0000    -15.0000     728.00      -16.676275831529
           319.0000    -15.0000     832.00       29.860370699097
           320.0000    -15.0000     410.00      -15.090732623513
