generating_institute     gfz-potsdam
     generating_date     2017/04/04
        product_type     gravity_field
                body     earth
           modelname     eigen-6c4
     max_used_degree          2190
         tide_system     tide_free
          functional     gravity_disturbance
    zero_degree_term     included
                unit     mgal
          refsysname     WGS84
            gmrefpot      3.98600441800E+14 m**3/s**2
        radiusrefpot     6378137.000 m
          flatrefpot      3.352810664747480E-03   (1/298.25722356300)
         omegarefpot      7.29211500000E-05 1/s
    normal_potential      6.263685171456948E+07 m**2/s**2
       long_lat_unit     degree
      latlimit_north      -2.0000000000000    
      latlimit_south      -12.000000000000    
      longlimit_west       310.00000000000    
      longlimit_east       320.00000000000    
            gridstep       1.0000000000000    
  latitude_parallels            11
 longitude_parallels            11
number_of_gridpoints           121
            gapvalue            999.0000
       weighted_mean     -1.9985915E+01 mgal
            maxvalue      6.6592769E+01 mgal
            minvalue     -6.9066632E+01 mgal
         signal_wrms      2.5083234E+01 mgal
         grid_format     long_lat_height_value
 
          longitude    latitude  h_over_geoid  gravity_disturbance
            [deg.]      [deg.]     [meter]         [mgal]
end_of_head ======================================================
           316.0000    -10.0000     389.00       14.779092301787
           317.0000    -10.0000     421.00      -42.510267070206
           318.0000    -10.0000     621.00      -16.907469886185
           319.0000    -10.0000     754.00       12.038748741539
           320.0000    -10.0000     461.00       -5.134766553816
           310.0000    -11.0000     184.00      -52.701446858272
           311.0000    -11.0000     277.00      -27.370161519968
           312.0000    -11.0000     306.00       -5.282381063765
           313.0000    -11.0000     465.00      -18.135078303771
           314.0000    -11.0000     678.00       12.600774339333
           315.0000    -11.0000     532.00      -36.116149994925
           316.0000    -11.0000     698.00      -28.794617649908
           317.0000    -11.0000     403.00      -41.579943047410
           318.0000    -11.0000     551.00      -47.051576511237
           319.0000    -11.0000     586.00      -11.704315619099
           320.0000    -11.0000     350.00       -9.677693245180
           310.0000    -12.0000     197.00      -53.091839834174
           311.0000    -12.0000     264.00        8.383338366436
           312.0000    -12.0000     386.00       -7.129581682719
           313.0000    -12.0000     375.00      -59.906886132666
           314.0000    -12.0000     807.00      -12.502267760439
           315.0000    -12.0000     457.00      -20.279071051910
           316.0000    -12.0000     716.00      -26.750773486306
           317.0000    -12.0000     445.00      -29.066709131875
           318.0000    -12.0000     833.00      -10.812068542165
           319.0000    -12.0000     640.00       -7.384415932599
           320.0000    -12.0000     307.00       -8.755929519921
